population_size,motation_chance,death_treshold,generation_num,calls_to_fit,best_fit
40,0.2,0.6,72,2566,70.57973057855286
40,0.2,0.6,74,2531,82.12189493342477
40,0.2,0.6,61,2401,44.89391647505687
40,0.2,0.6,135,4527,90.62389237886906
40,0.2,0.6,119,4093,82.9617653886847
40,0.2,0.6,75,2727,68.13695861119601
40,0.2,0.6,51,1953,45.99801119071641
40,0.2,0.6,104,3724,87.97521943308558
40,0.2,0.6,69,2274,84.82572778770773
40,0.2,0.6,108,3708,86.8525706266681
40,0.4,0.6,55,2151,90.39088865710366
40,0.4,0.6,79,3220,93.67586452752265
40,0.4,0.6,87,3840,85.3150449739419
40,0.4,0.6,70,2859,86.25889462915816
40,0.4,0.6,89,3623,93.9669774154639
40,0.4,0.6,68,2840,88.69757756702252
40,0.4,0.6,87,3946,73.17625901642926
40,0.4,0.6,80,3411,91.18351172614699
40,0.4,0.6,100,4385,76.76366122294993
40,0.4,0.6,89,3625,89.88160138446753
40,0.6,0.6,69,3317,92.84861803205087
40,0.6,0.6,72,3668,90.24230718001941
40,0.6,0.6,66,3122,93.9669774154639
40,0.6,0.6,70,3412,93.80817322214477
40,0.6,0.6,90,4585,90.46193411894903
40,0.6,0.6,116,5801,84.87540947883998
40,0.6,0.6,136,6865,93.9669774154639
40,0.6,0.6,61,2904,93.93899234083703
40,0.6,0.6,56,3060,46.143407398468035
40,0.6,0.6,79,3874,91.98294950307778
40,0.8,0.6,79,4499,90.68595812743433
40,0.8,0.6,58,3282,90.65931533122765
40,0.8,0.6,65,3626,91.16265507528334
40,0.8,0.6,85,4614,93.9669774154639
40,0.8,0.6,57,3224,93.9669774154639
40,0.8,0.6,72,4490,45.56186008125374
40,0.8,0.6,76,4311,93.9669774154639
40,0.8,0.6,73,4064,92.16835260795382
40,0.8,0.6,62,3429,93.93899234083703
40,0.8,0.6,80,4361,93.7801881475179
60,0.2,0.6,93,4795,93.91789248298345
60,0.2,0.6,65,3441,83.61406290020096
60,0.2,0.6,114,5924,91.59347276013787
60,0.2,0.6,85,4280,93.9669774154639
60,0.2,0.6,63,3289,87.83203568172084
60,0.2,0.6,69,3600,72.73083112886286
60,0.2,0.6,66,3542,83.14994090098335
60,0.2,0.6,79,3872,93.78559711458732
60,0.2,0.6,109,5437,87.54394705936683
60,0.2,0.6,108,5443,93.9669774154639
60,0.4,0.6,70,4283,93.6691125730095
60,0.4,0.6,61,3648,91.56161125384773
60,0.4,0.6,77,4487,93.9669774154639
60,0.4,0.6,83,5136,93.9458775576103
60,0.4,0.6,80,4850,93.9669774154639
60,0.4,0.6,72,4506,91.42930255922559
60,0.4,0.6,52,3083,91.85108057391407
60,0.4,0.6,60,3863,91.56161125384773
60,0.4,0.6,75,4480,93.9669774154639
60,0.4,0.6,71,4444,86.15539964751251
60,0.6,0.6,74,5518,92.4441118792588
60,0.6,0.6,80,5895,92.87123689458345
60,0.6,0.6,65,4624,93.9669774154639
60,0.6,0.6,53,3930,93.9669774154639
60,0.6,0.6,68,5062,93.9669774154639
60,0.6,0.6,38,2867,91.53362617922086
60,0.6,0.6,68,4978,93.69709764763637
60,0.6,0.6,76,5611,92.35888059572062
60,0.6,0.6,64,4656,93.82927307999837
60,0.6,0.6,80,6115,93.8012880053715
60,0.8,0.6,56,4766,93.9669774154639
60,0.8,0.6,91,8012,93.9669774154639
60,0.8,0.6,65,5521,93.9669774154639
60,0.8,0.6,49,4167,92.78783155924714
60,0.8,0.6,76,6251,93.9669774154639
60,0.8,0.6,48,4042,93.9669774154639
60,0.8,0.6,67,5612,93.93899234083703
60,0.8,0.6,51,4276,93.9669774154639
60,0.8,0.6,56,4769,93.9669774154639
60,0.8,0.6,47,3938,93.82927307999837
80,0.2,0.6,60,3994,89.48611636886125
80,0.2,0.6,120,8206,93.9669774154639
80,0.2,0.6,61,4186,85.4678156754626
80,0.2,0.6,84,5671,90.77912738432795
80,0.2,0.6,61,3977,92.14720610830918
80,0.2,0.6,108,7731,93.7801881475179
80,0.2,0.6,82,5655,93.91789248298345
80,0.2,0.6,89,6156,83.94120798821825
80,0.2,0.6,84,5419,93.9669774154639
80,0.2,0.6,93,6045,90.30665097366357
80,0.4,0.6,59,4928,93.9669774154639
80,0.4,0.6,80,6602,93.9669774154639
80,0.4,0.6,82,6696,93.9669774154639
80,0.4,0.6,62,4948,93.9669774154639
80,0.4,0.6,97,8241,93.9669774154639
80,0.4,0.6,75,6036,93.9669774154639
80,0.4,0.6,69,5550,93.9669774154639
80,0.4,0.6,75,6292,93.93899234083703
80,0.4,0.6,81,6765,93.9669774154639
80,0.4,0.6,56,4580,93.9458775576103
80,0.6,0.6,61,5902,93.9669774154639
80,0.6,0.6,51,5156,93.9669774154639
80,0.6,0.6,67,6658,92.14725275010022
80,0.6,0.6,69,7510,47.98772732242882
80,0.6,0.6,50,4946,91.70943650798827
80,0.6,0.6,54,5304,93.9669774154639
80,0.6,0.6,57,5597,93.9669774154639
80,0.6,0.6,61,5885,93.9669774154639
80,0.6,0.6,64,6203,93.9669774154639
80,0.6,0.6,57,5529,93.9669774154639
80,0.8,0.6,53,6063,93.9669774154639
80,0.8,0.6,61,6893,93.9669774154639
80,0.8,0.6,71,7955,93.9669774154639
80,0.8,0.6,75,8687,93.9669774154639
80,0.8,0.6,61,7125,93.9669774154639
80,0.8,0.6,58,6579,93.9669774154639
80,0.8,0.6,45,5053,93.83466872084178
80,0.8,0.6,64,7288,92.22729151730317
80,0.8,0.6,44,5055,93.7801881475179
80,0.8,0.6,86,9986,93.9669774154639
100,0.2,0.6,76,6578,89.62335903809085
100,0.2,0.6,99,8777,82.77107181945335
100,0.2,0.6,84,6793,92.35888059572062
100,0.2,0.6,81,7269,80.61691903349552
100,0.2,0.6,88,7512,90.65931533122765
100,0.2,0.6,96,8451,93.9669774154639
100,0.2,0.6,64,5220,93.9669774154639
100,0.2,0.6,62,5220,93.78563709326536
100,0.2,0.6,113,10293,87.08260690801735
100,0.2,0.6,65,5389,93.9669774154639
100,0.4,0.6,49,5160,93.8012880053715
100,0.4,0.6,62,6108,93.9669774154639
100,0.4,0.6,48,4875,93.80673695111895
100,0.4,0.6,56,5711,93.9458775576103
100,0.4,0.6,71,7596,93.9669774154639
100,0.4,0.6,86,9340,93.9669774154639
100,0.4,0.6,73,8619,45.154432518921794
100,0.4,0.6,58,5818,93.82927307999837
100,0.4,0.6,56,5901,93.9669774154639
100,0.4,0.6,74,7819,93.9669774154639
100,0.6,0.6,51,6114,93.9669774154639
100,0.6,0.6,85,10728,93.9669774154639
100,0.6,0.6,68,8424,93.9669774154639
100,0.6,0.6,61,7575,93.81358218921419
100,0.6,0.6,64,7765,93.93899234083703
100,0.6,0.6,47,5676,93.80817322214477
100,0.6,0.6,68,8292,93.9669774154639
100,0.6,0.6,64,7660,93.9669774154639
100,0.6,0.6,60,7428,93.9669774154639
100,0.6,0.6,54,6558,93.9669774154639
100,0.8,0.6,55,7622,93.9669774154639
100,0.8,0.6,51,7072,93.9669774154639
100,0.8,0.6,45,6357,93.9669774154639
100,0.8,0.6,59,8357,93.9669774154639
100,0.8,0.6,60,8565,93.9669774154639
100,0.8,0.6,52,7417,93.9669774154639
100,0.8,0.6,54,7758,93.9669774154639
100,0.8,0.6,84,12332,93.9669774154639
100,0.8,0.6,59,8171,93.9669774154639
100,0.8,0.6,60,8583,93.9669774154639
150,0.2,0.6,45,5769,91.37482198590175
150,0.2,0.6,62,7494,93.93899234083703
150,0.2,0.6,62,7523,93.9669774154639
150,0.2,0.6,59,7685,93.9458775576103
150,0.2,0.6,67,8327,93.9669774154639
150,0.2,0.6,76,9123,93.9669774154639
150,0.2,0.6,62,7496,93.9669774154639
150,0.2,0.6,68,9058,92.01826166008536
150,0.2,0.6,61,7798,93.9669774154639
150,0.2,0.6,47,5749,93.8012880053715
150,0.4,0.6,56,8794,93.9669774154639
150,0.4,0.6,49,8688,46.84300330007886
150,0.4,0.6,61,9475,93.91789248298345
150,0.4,0.6,46,7273,93.9669774154639
150,0.4,0.6,46,7082,93.9669774154639
150,0.4,0.6,51,7916,93.9669774154639
150,0.4,0.6,50,7961,91.34231591946612
150,0.4,0.6,64,9821,93.9669774154639
150,0.4,0.6,57,8776,93.9669774154639
150,0.4,0.6,55,8619,93.9669774154639
150,0.6,0.6,44,8018,93.9669774154639
150,0.6,0.6,44,7990,93.9669774154639
150,0.6,0.6,44,7987,93.9669774154639
150,0.6,0.6,47,8571,93.9669774154639
150,0.6,0.6,46,8423,93.9669774154639
150,0.6,0.6,62,11821,93.9669774154639
150,0.6,0.6,55,10279,93.9669774154639
150,0.6,0.6,42,7729,93.9669774154639
150,0.6,0.6,59,11139,93.9669774154639
150,0.6,0.6,43,7932,93.9669774154639
150,0.8,0.6,42,8906,93.9669774154639
150,0.8,0.6,39,8257,93.9669774154639
150,0.8,0.6,51,10823,93.9669774154639
150,0.8,0.6,50,10501,93.9669774154639
150,0.8,0.6,48,10388,93.9669774154639
150,0.8,0.6,51,11062,93.9669774154639
150,0.8,0.6,49,10663,93.9669774154639
150,0.8,0.6,40,8649,93.9669774154639
150,0.8,0.6,41,8852,93.81358218921419
150,0.8,0.6,65,14032,93.93899234083703
